,datetime,time,team2,team1_code,team2_code,round,score1,score2,adj_score1,adj_score2,xG_Shot_Home,xG_Shot_Away,xG_Non-Shot_Home,xG_Non-Shot_Away,group,matchday
38,10/18/2016,14:45:00+00:00,AS Monaco,CSKA,MON,g,1,1,1.05,1.05,1.236,1.544,0.858,1.844,E,3
39,10/18/2016,14:45:00+00:00,Juventus,LYON,JUV,g,0,1,0,1.05,1.955,0.863,1.228,1.545,H,3
40,10/19/2016,14:45:00+00:00,Ludogorets,ARS,LUD,g,6,0,5.549,0,2.134,0.418,2.231,0.823,A,3
41,10/19/2016,14:45:00+00:00,Borussia Monchengladbach,CEL,MGB,g,0,2,0,1.932,0.617,1.033,1.195,1.467,C,3
42,10/19/2016,14:45:00+00:00,Besiktas,NAP,BES,g,2,3,2.1,3.15,3.769,1.376,1.522,0.691,B,3
43,10/19/2016,14:45:00+00:00,Manchester City,BAR,MNC,g,4,0,3.707,0,3.576,1.217,1.869,0.995,C,3
44,10/19/2016,14:45:00+00:00,PSV,BMU,PSV,g,4,1,3.845,1.05,4.134,1.675,3.297,1.017,D,3
45,10/19/2016,14:45:00+00:00,Benfica,KIEV,BEN,g,0,2,0,2.1,1.738,1.618,0.993,0.789,B,3
46,10/19/2016,14:45:00+00:00,Atletico Madrid,ROS,ATL,g,0,1,0,1.05,0.088,1.949,0.556,1.651,D,3
47,10/19/2016,14:45:00+00:00,Basel,PSG,BAS,g,3,0,2.625,0,2.547,1.304,1.428,0.924,A,3
48,11/1/2016,13:45:00+00:00,Napoli,BES,NAP,g,1,1,1.05,1.05,1.286,1.463,0.429,1.535,B,4
49,11/1/2016,15:45:00+00:00,Barcelona,MNC,BAR,g,3,1,3.055,1.05,2.004,1.881,1.701,1.922,C,4
50,11/1/2016,15:45:00+00:00,Rostov,ATL,ROS,g,2,1,2.1,1.05,2.056,0.431,2.97,0.116,D,4
51,11/1/2016,15:45:00+00:00,Celtic,MGB,CEL,g,1,1,1.05,1.05,1.805,1.369,1.888,0.909,C,4
52,11/1/2016,15:45:00+00:00,Dynamo Kiev,BEN,KIEV,g,1,0,1.05,0,1.643,1.186,1.154,0.838,B,4
53,11/1/2016,15:45:00+00:00,Paris Saint-Germain,BAS,PSG,g,1,2,1.05,2.1,0.687,2.432,0.608,2.236,A,4
54,11/1/2016,15:45:00+00:00,Bayern Munich,PSV,BMU,g,1,2,1.05,2.1,0.919,4.691,0.568,3.643,D,4
55,11/1/2016,15:45:00+00:00,Arsenal,LUD,ARS,g,2,3,2.1,3.15,1.616,1.985,0.593,2.219,A,4
56,11/2/2016,15:45:00+00:00,Leicester City,COP,LEI,g,0,0,0,0,1.872,0.449,1.218,0.608,G,4
57,11/2/2016,15:45:00+00:00,Bayer Leverkusen,TOT,LEV,g,0,1,0,1.05,0.482,1.172,0.777,1.452,E,4
